id,ra,dec,survey,rmag,FLIMFLAM_target,FLIMFLAM_observed,sep,z,QOP
198828825,321.786935,-54.344942,wide,18.96968249064779,True,False,0.9929657986030396,,
198830521,321.745164,-54.354868,wide,18.929382648763657,True,True,1.0111555876010816,0.28185,4.0
198831771,322.001505,-54.367257,wide,17.244095813216685,True,True,0.8704913411003465,0.04494,4.0
198834593,321.677048,-54.387307,wide,18.84379796618271,True,True,1.035576798060204,0.23916,4.0
198834900,321.854982,-54.388200000000005,wide,18.12960593343544,True,True,0.9392145356705198,0.06919,4.0
198834902,321.868513,-54.392897,wide,18.85164553365564,True,True,0.9301254315714369,0.28071,4.0
198835406,321.856356,-54.388955,wide,19.26744448314333,True,True,0.9381823685523145,0.06952,4.0
198835886,321.995036,-54.400913,wide,18.609760102279186,True,True,0.859449746474626,0.0756,4.0
198841354,321.750504,-54.438722,wide,18.594909048867702,True,True,0.9777774147656452,0.06361,4.0
198841972,321.896211,-54.444652,wide,19.38112397953272,True,False,0.8960070114265085,,
198842347,321.870415,-54.456067,wide,17.01215783621454,True,True,0.9062319787911268,0.07496,4.0
198842793,321.952429,-54.448626,wide,19.21188768162393,True,True,0.8640094682844744,0.29292,4.0
198848307,321.875871,-54.494513,wide,18.30068740527105,True,True,0.89118128096789,0.04453,4.0
198850672,321.79134,-54.51342,wide,17.763107859706878,True,True,0.9330764091785669,0.08558,3.0
198851677,321.738802,-54.545421,wide,16.853963198361875,True,True,0.9548961931492528,0.08543,4.0
198851783,321.642457,-54.520491,wide,19.30074549027109,True,False,1.0150283285138764,,
198851987,321.956433,-54.520527,wide,18.95493466430807,True,True,0.8389039741344276,0.22901,4.0
198854189,321.732371,-54.539079,wide,17.45627723276806,True,True,0.9599628592398896,0.08529,3.0
198854200,321.775578,-54.538653,wide,18.89309086262989,True,True,0.9356757897955442,0.08577,4.0
198854316,321.920522,-54.53869,wide,19.31646630857229,True,False,0.8541245999235397,,
198856023,321.806966,-54.565807,wide,18.557605551673888,True,False,0.9118878222975316,,
198856047,321.80365,-54.55989,wide,17.120544369589805,True,True,0.9150277648217068,0.07567,4.0
198856472,321.799254,-54.558311,wide,18.713790550385,True,True,0.9178583886111359,0.09084,4.0
198858415,321.838358,-54.568916,wide,19.220482417473796,True,True,0.893441794554898,0.06373,4.0
198860543,321.856065,-54.586384,wide,19.27239183412313,True,True,0.8798566863601341,0.27858,4.0
198860863,321.713859,-54.59257,wide,19.23610698003864,True,False,0.9597251957436543,,
198861672,321.575167,-54.594661,wide,19.121918716538907,True,True,1.0386111063077796,0.40602,3.0
200598153,321.938631,-55.316367,wide,19.17066702989101,True,True,0.9894782388148424,0.24588,4.0
200598178,322.376988,-55.324667,wide,17.465103826503753,True,True,0.80296514034007,0.09694,4.0
200598220,322.123241,-55.330266,wide,19.30355384670019,True,False,0.9136407120066797,,
200599482,321.955083,-55.344764,wide,19.31160580618668,True,False,0.9982621205385006,,
200599642,322.108608,-55.348412,wide,19.127644176544667,True,True,0.9315846828899066,0.18886,4.0
200599867,321.94992,-55.351915,wide,18.79339127087307,True,True,1.0048591585869902,0.10333,4.0
200599871,322.01219,-55.350855,wide,18.68755423182583,True,True,0.9759444384539534,0.24713,3.0
200600098,321.878664,-55.359674,wide,18.02333808721161,True,True,1.0422344668719756,0.18333,4.0
200600332,321.959984,-55.362615,wide,18.26326502649784,True,True,1.006672194416942,0.26463,3.0
200600741,322.125386,-55.367843,wide,18.742304513135437,True,True,0.93687346152791,0.18998,4.0
200600933,321.968178,-55.36892,wide,19.1654482302475,True,True,1.006788164734078,0.29455,4.0
200601202,322.267893,-55.372211,wide,19.182065204085827,True,True,0.8804242037242308,0.26027,4.0
200601388,322.034255,-55.376376,wide,19.300353957763672,True,False,0.9819867445146045,,
200601446,322.359562,-55.381809,wide,18.45830406834936,True,True,0.8513146177700468,0.11584,4.0
200601591,322.02517,-55.376692,wide,19.34637076904965,True,False,0.9861884052204147,,
200601712,321.951015,-55.383877,wide,18.894985734417915,True,True,1.023648873720446,0.295,3.0
200601971,322.165859,-55.383506,wide,18.983563048429964,True,True,0.9301602825543801,0.18937,4.0
200602047,322.086194,-55.389748,wide,18.805422232198715,True,True,0.9680487166015824,0.26168,3.0
